quarter,24 Hours,48 Hours,Week
October 08 2014 22:25,2856,2856,2856
October 09 2014 22:25,2872,2870.5,2904
October 16 2014 22:25,2984,2972,3240
October 23 2014 22:25,3096,3073.5,3576
October 30 2014 22:25,3208,3175,3912
November 06 2014 22:25,3320,3276.5,4248
November 13 2014 22:25,3432,3378,4584
November 20 2014 22:25,3544,3479.5,4920
November 27 2014 22:25,3656,3581,5256
December 04 2014 22:25,3768,3682.5,5592
December 11 2014 22:25,3880,3784,5928
December 18 2014 22:25,3992,3885.5,6264
December 25 2014 22:25,4104,3987,6600
January 01 2015 22:25,4216,4088.5,6936
